"region","name","label","calc","calc_lower","calc_upper"
"atlantic","Rock Turf Algae","RCTA",-0.24,-0.24,-0.24
"atlantic","Rock_Pavement","RckPav",-0.24,-0.24,-0.24
"atlantic","Scolymia","SCOL",10.36,9.62,11.15
"atlantic","Scolymia cubensis","SCOCUB",9.87,9.15,10.64
"atlantic","Scolymia lacera","SCOLA",10.74,9.96,11.55
"atlantic","Siderastrea","Siderastr",5.38,4.96,5.85
"atlantic","Siderastrea radians","SidRad",3.12,2.98,3.32
"atlantic","Siderastrea siderea","SidSid",8.04,7.2,8.9
"atlantic","Smothered Rock","SmRock",-0.24,-0.24,-0.24
"atlantic","Solenastrea","SOLE",12.34,11.61,13.07
"atlantic","Solenastrea bournoni","SOLBOU",17.09,16.68,17.56
"atlantic","Solenastrea hyades","SOL",5.7,5.12,6.3
"atlantic","Sponge: Cliona","SINV_SPO_C",-5.17,-7.3,-3.04
"atlantic","Stephanocoenia intersepta","StephInt",5.21,4.87,5.56
"atlantic","Stylaster roseus","Fire Sros",0.82,0.59,1.07
"atlantic","Substrate: Consolidated (hard) Rock","SCRO",-0.24,-0.24,-0.24
"atlantic","Thick Sediment Over Rock","ThkSedRck",-0.24,-0.24,-0.24
"atlantic","Thin Sediment over Rock","ThnSedRck",-0.24,-0.24,-0.24
"atlantic","Thin Turf/Biofilm on Rock","TnTrfBFRck",-0.24,-0.24,-0.24
"atlantic","Tubastraea","Tubastraea",1.18,0.84,1.51
"atlantic","Tubastraea coccinea","TUBCOC",1.17,0.85,1.51
"atlantic","Very Thin Sediment over Rock","VThnSedRck",-0.24,-0.24,-0.24
